Train Number,Train Name,Departure Station(code),Arrival Station(code),Arrival Time,Departure Time,Journey Duration,Days of Operation,Train Type,Route,Distance,Classes Available,SL ,3A,2A,2S,1A,CC
1407,Kop Solapur Special,C Shahumaharaj T(KOP),Solapur Junction(SUR),Starts,18.15,6hrs 50 mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,315,"2A,3A,SL",,,,,,
1408,Sur Kop Special,Solapur Junction (SUR),C Shahumaharaj T(KOP),10.30am,Ends,5hrs 55mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,315,"2A,3A,SL",,,,,,
7143,Hyb Kop Special,Hyderabad Deccan(HYB),C Shahumaharaj T(KOP),22.45,Ends,23hrs 35mins,"Tue,Wed,Sat,Sun",Mail/Express,1,998,"2A,3A,SL",,,,,,
1032,Hyb Kop Special,Hyderabad Deccan(HYB),C Shahumaharaj T(KOP),3.45,Ends,17hrs 20mins,Thu,Mail/Express,1,650,"2A,3A,SL",,,,,,
1205,Ltt Kop Special,Lokmanyatilak T(LTT),C Shahumaharaj T(KOP),4.35,Ends,11hrs 55mins,Thu,Mail/Express,1,502,"2A,3A,SL",,,,,,
1206,Kop Ltt Special,C Shahumaharaj T(KOP),Lokmanyatilak T(LTT),Starts,9.05,15hrs 15mins,Fri,Mail/Express,1,502,"2A,3A,SL",,,,,,
11023,Sahyadri Express,Mumbai CST(CSMT),C Shahumaharaj T(KOP),6.05,Ends,12hrs 15mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,518,"2A,3A,SL",,,,,,
11024,Sahyadri Express,C Shahumaharaj T(KOP),Mumbai CST(CSMT),Starts,22.5,13hrs,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,518,"2A,3A,SL",,,,,,
11029,Koyna Express,Mumbai CST(CSMT),C Shahumaharaj T(KOP),20.25,Ends,11hrs 45mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,518,"CC,2S",315,845,1205,180,1995,680
11030,Koyna Express,C Shahumaharaj T(KOP),Mumbai CST(CSMT),Starts,7.55,12hrs 20mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,518,"CC,2S",315,845,1205,180,1995,680
11039,Maharashtra Express,C Shahumaharaj T(KOP),Gorakhpur Junction(GKP),Starts,15.30pm,51hrs 40mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,2108,"2A,3A,SL",,,,,,
12147,Nizamuddin Express,C Shahumaharaj T(KOP),Hazrat Nizamuddin(NZM),Starts,9.05,33hrs 35mins,"Tue,Wed,Sat,Sun",Mail/Express,1,1910,,,,,,,
17411,Mahalakshmi Express,Mumbai CST(CSMT),C Shahumaharaj T(KOP),7.20am,Ends,10hrs 57mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,518,"1A,2A,3A,SL",315,780,1205,,1995,
17412,Mahalakshmi Express,C Shahumaharaj T(KOP),Mumbai CST(CSMT),Starts,20.30pm,10hrs 55mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,518,"1A,2A,3A,SL",315,780,1205,,1995,
16589,Ranichennamma ,Bangalore Cy Junction(SBC) ,C Shahumaharaj T(KOP),13.40pm,Ends,16hrs 25mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,795,"1A,2A,3A,SL",400,1090,1560,,2615,
12148,Nzm Kop Express,H Nizamuddin (NZM),C Shahumaharaj T(KOP),16.20pm,Ends,34hrs 25mins,Thu,Mail/Express,1,1915,"2A,3A,SL",765,2000,2885,,,
11050,Ahmedabad Express,C Shahumaharaj T(KOP),Ahmedabad Junction(ADI),Starts,12.50pm,18hrs 55mins,Sat,Mail/Express,1,961,"2A,3A,SL",,,,,,
11051,Sur Kop Express,Solapur Junction (SUR),C Shahumaharaj T(KOP),6.20am,Ends,6hrs 45mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,315,"2A,3A,SL",,,,,,
11304,Kop Hyb Express,C Shahumaharaj T(KOP),Hyderabad Deccan,Starts,7.35am,23hrs 10mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,998,"2A,3A,SL",,,,,,
11045,Dikshabhoomi Express,C Shahumaharaj T(KOP),Dhanbad Junction(DHN),Starts,23.45,60hrs 15mins,Fri,Mail/Express,1,2967,"3A,SL",895,2315,3370,,,
11046,Dikshabhoomi Express,Dhanbad Junction(DHN),C Shahumaharaj T(KOP),3.45,Ends,61hrs 50mins,Mon,Mail/Express,1,2968,"3A,SL",895,2315,3370,,,
11052,Kop Solapur Express,C Shahumaharaj T(KOP),Solapur Junction(SUR),Starts,23.55,7hrs 50mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,315,"2A,3A,SL",,,,,,
11404,Kop Nagpur Express,C Shahumaharaj T(KOP),Nagpur(NGP),Starts,12.50pm,23hrs 45mins,"Mon,Fri",Mail/Express,1,1038,"2A,3A,SL",495,1335,1915,300,,
15018,Gkp Ltt Express,Gorakhpur Junction(GKP),Lokmanyatilak T(LTT),12.45,Ends,55hrs 15mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,2107,"2A,3A,SL",680,1810,2625,,4470,
11403,Ngp Kop Express,Nagpur(NGP),C Shahumaharaj T(KOP),14.15,Ends,23hrs 15mins,"Tue,Sat",Mail/Express,1,1038,"2A,3A,SL",495,1335,1915,,,
17415,Haripriya Express,Tirupati(TPTY),C Shahumaharaj T(KOP),16.35,Ends,19hrs 35mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,905,"1A,2A,3A,SL",450,1130,1750,,2950,
17416,Haripriya Express,C Shahumaharaj T(KOP),Tirupati(TPTY),Starts,11.35,21hrs 15mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,905,"1A,2A,3A,SL",450,1130,1750,,2950,
11303,Hyb Kop Express,Hyderabad Deccan(HYB),C Shahumaharaj T(KOP),22.40pm,Ends,23hrs 30mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,998,"2A,3A,SL",,,,,,
11049,Kolhapur Express,Ahemadab Junction(ADI),C Shahumaharaj T(KOP),15.25pm,Ends,20hrs,Sun,Mail/Express,1,961,"2A,3A,SL",,,,,,
11040,Maharashtra Express,Gondia Junction (G),C Shahumaharaj T(KOP),12.45pm,Ends,25hrs 10mins,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",Mail/Express,1,1132,,575,1545,2235,,,
